tff_mac_id,minute,scorer,scorer_id,tff_kisi_id,note
106084,69,Filip Hološko,12232,950514,Spor Toto Super Final — not merged into league goals.csv
106084,85,Olcan Adın,18767,397587,Spor Toto Super Final — not merged into league goals.csv
106095,21,Safet Nadarević,12699,1170347,Spor Toto Super Final — not merged into league goals.csv
106095,50,Batuhan Karadeniz,31577,709586,Spor Toto Super Final — not merged into league goals.csv
106095,56,Batuhan Karadeniz,31577,709586,Spor Toto Super Final — not merged into league goals.csv
106095,64,Michael Eneramo,55026,1388969,Spor Toto Super Final — not merged into league goals.csv
106096,41,Pablo Batalla,39974,1253726,Spor Toto Super Final — not merged into league goals.csv
106096,44,Pablo Batalla,39974,1253726,Spor Toto Super Final — not merged into league goals.csv
106096,60,Sebastian Andres Pinto Perurena,,1468559,Spor Toto Super Final — not merged into league goals.csv
106096,81,Turgay Bahadir,3845,1064301,Spor Toto Super Final — not merged into league goals.csv
