tff_mac_id,match_id,round_tff
98849,1921055,1
98850,1921057,1
98851,1921059,1
98852,1921061,1
98853,1921063,1
98854,1921065,1
98855,1921067,1
98856,1921069,1
98857,1921071,1
98858,1921073,2
98859,1921075,2
98860,1921077,2
98861,1921079,2
98862,1921081,2
98863,1921083,2
98864,1921085,2
98865,1921087,2
98866,1921089,2
98867,1921091,3
98868,1921093,3
98869,1921095,3
98870,1921097,3
98871,1921099,3
98872,1921101,3
98873,1921103,3
98874,1921105,3
98875,1921107,3
98876,1921719,4
98877,1921721,4
98878,1921723,4
98879,1921725,4
98880,1921727,4
98881,1921729,4
98882,1921731,4
98883,1921733,4
98884,1921735,4
98885,1921737,5
98886,1921739,5
98887,1921741,5
98888,1921743,5
98889,1921745,5
98890,1921747,5
98891,1921749,5
98892,1921751,5
98893,1921753,5
98894,1921755,6
98895,1921757,6
98896,1921759,6
98897,1921761,6
98898,1921763,6
98899,1921765,6
98900,1921767,6
98901,1921769,6
98902,1921771,6
98903,1921773,7
98904,1921775,7
98905,1921777,7
98906,1921779,7
98907,1921781,7
98908,1921783,7
98909,1921785,7
98910,1921787,7
98911,1921789,7
98912,1921791,8
98913,1921793,8
98914,1921795,8
98915,1921797,8
98916,1921799,8
98917,1921801,8
98918,1921803,8
98919,1921805,8
98920,1921807,8
98921,1921809,9
98922,1921811,9
98923,1921813,9
98924,1921815,9
98925,1921817,9
98926,1921819,9
98927,1921821,9
98928,1921823,9
98929,1921825,9
98930,1921827,10
98931,1921829,10
98932,1921831,10
98933,1921833,10
98934,1921835,10
98935,1921837,10
98936,1921839,10
98937,1921841,10
98938,1921843,10
98939,1921845,11
98940,1921847,11
98941,1921849,11
98942,1921851,11
98943,1921853,11
98944,1921855,11
98945,1921857,11
98946,1921859,11
98947,1921861,11
98948,1921863,12
98949,1921865,12
98950,1921867,12
98951,1921869,12
98952,1921871,12
98953,1921873,12
98954,1921875,12
98955,1921877,12
98956,1921879,12
98957,1921881,13
98958,1921883,13
98959,1921885,13
98960,1921887,13
98961,1921889,13
98962,1921891,13
98963,1921893,13
98964,1921895,13
98965,1921897,13
98966,1921899,14
98967,1921901,14
98968,1921903,14
98969,1921905,14
98970,1921907,14
98971,1921909,14
98972,1921911,14
98973,1921913,14
98974,1921915,14
98975,1921917,15
98976,1921919,15
98977,1921921,15
98978,1921923,15
98979,1921925,15
98980,1921927,15
98981,1921929,15
98982,1921931,15
98983,1921933,15
98984,1921935,16
98985,1921937,16
98986,1921939,16
98987,1921941,16
98988,1921943,16
98989,1921945,16
98990,1921947,16
98991,1921949,16
98992,1921951,16
98993,1921953,17
98994,1921955,17
98995,1921957,17
98996,1921959,17
98997,1921961,17
98998,1921963,17
98999,1921965,17
99000,1921967,17
99001,1921969,17
99002,1921971,18
99003,1921973,18
99004,1921975,18
99005,1921977,18
99006,1921979,18
99007,1921981,18
99008,1921983,18
99009,1921985,18
99010,1921987,18
99011,1921989,19
99012,1921991,19
99013,1921993,19
99014,1921995,19
99015,1921997,19
99016,1921999,19
99017,1922001,19
99018,1922003,19
99019,1922005,19
99020,1922007,20
99021,1922009,20
99022,1922011,20
99023,1922013,20
99024,1922015,20
99025,1922017,20
99026,1922019,20
99027,1922021,20
99028,1922023,20
99029,1922025,21
99030,1922027,21
99031,1922029,21
99032,1922031,21
99033,1922033,21
99034,1922035,21
99035,1922037,21
99036,1922039,21
99037,1922041,21
99038,1922043,22
99039,1922045,22
99040,1922047,22
99041,1922049,22
99042,1922051,22
99043,1922053,22
99044,1922055,22
99045,1922057,22
99046,1922059,22
99047,1922061,23
99048,1922063,23
99049,1922065,23
99050,1922067,23
99051,1922069,23
99052,1922071,23
99053,1922073,23
99054,1922075,23
99055,1922077,23
99056,1922079,24
99057,1922081,24
99058,1922083,24
99059,1922085,24
99060,1922087,24
99062,1922091,24
99063,1922093,24
99064,1922095,24
99065,1922097,25
99066,1922099,25
99067,1922101,25
99068,1922103,25
99069,1922105,25
99070,1922107,25
99071,1922109,25
99072,1922111,25
99073,1922113,25
99074,1922115,26
99075,1922117,26
99076,1922119,26
99077,1922121,26
99078,1922123,26
99079,1922125,26
99080,1922127,26
99081,1922129,26
99082,1922131,26
99083,1922133,27
99084,1922135,27
99085,1922137,27
99086,1922139,27
99087,1922141,27
99088,1922143,27
99089,1922145,27
99090,1922147,27
99091,1922149,27
99092,1922151,28
99093,1922153,28
99094,1922155,28
99095,1922157,28
99096,1922159,28
99097,1922161,28
99098,1922163,28
99099,1922165,28
99100,1922167,28
99101,1922169,29
99102,1922171,29
99103,1922173,29
99104,1922175,29
99105,1922177,29
99106,1922179,29
99107,1922181,29
99108,1922183,29
99109,1922185,29
99110,1922187,30
99111,1922189,30
99112,1922191,30
99113,1922193,30
99114,1922195,30
99115,1922197,30
99116,1922199,30
99117,1922201,30
99118,1922203,30
99119,1922205,31
99120,1922207,31
99121,1922209,31
99122,1922211,31
99123,1922213,31
99124,1922215,31
99125,1922217,31
99126,1922219,31
99127,1922221,31
99128,1922223,32
99129,1922225,32
99130,1922227,32
99131,1922229,32
99132,1922231,32
99133,1922233,32
99134,1922235,32
99135,1922237,32
99136,1922239,32
99137,1922241,33
99138,1922243,33
99139,1922245,33
99140,1922247,33
99141,1922249,33
99142,1922251,33
99143,1922253,33
99144,1922255,33
99145,1922257,33
99146,1922259,34
99147,1922261,34
99148,1922263,34
99149,1922265,34
99150,1922267,34
99151,1922269,34
99152,1922271,34
99153,1922273,34
99154,1922275,34
104537,2371040,24
106083,,
106084,,
106095,,
106096,,
